text,category
Bill: Garment trims buttons zippers thread stock,Inventory
GST invoice for Desk organizers and file folders purchase,Office Supplies
gst invoice for razorpay payment gateway integration charges,Cloud/Software
Office pantry supplies tea coffee sugar and cups — reimbursement claim,Office Supplies
Google Cloud Platform compute engine subscription,Cloud/Software
Airtel business Wi-Fi connection bill — reimbursement claim,Utilities
Invoice for Paper shredder for document disposal,Office Supplies
Bill: Standing desk converter and monitor riser,Office Supplies
GST invoice for Rental car with driver for week-long project site,Travel
GST invoice for E-way bill compliant transporter charges for goods,Logistics
Recurring charge: Municipal property tax and civic charges,Utilities
Payment towards Office pantry supplies tea coffee sugar and cups,Office Supplies
First aid kit and safety supplies for office — reimbursement claim,Office Supplies
vendor invoice — parking charges at client premises and airport,Travel
Desk organizers and file folders purchase — reimbursement claim,Office Supplies
Expense: Fuel reimbursement for personal car used for work,Travel
Adobe Creative Cloud all-apps subscription,Cloud/Software
Bill: Sewage treatment plant operating expenses,Utilities
Bill: Fabric rolls and textile material procurement,Inventory
Recurring charge: Ergonomic office chair for workstation,Office Supplies
Recurring charge: Delhivery shipment for customer order fulfilment,Logistics
Expense: Piped water supply and sewerage charges,Utilities
GST invoice for Ergonomic office chair for workstation,Office Supplies
Rajdhani Express train fare for business travel,Travel
Expense: Pest control and fumigation service charges,Utilities
Bill: Salesforce CRM monthly enterprise license,Cloud/Software
A4 printing paper ream pack for office use,Office Supplies
Invoice for Metro card recharge for daily office commute,Travel
Expense: Staplers paper clips and binder accessories,Office Supplies
Payment towards Commercial gas connection bill for canteen,Utilities
Vendor invoice — Microsoft Azure virtual machine and storage charges,Cloud/Software
Vendor invoice — OYO hotel accommodation for conference in Bangalore,Travel
bill: fuel reimbursement for personal car used for work,Travel
Razorpay payment gateway integration charges,Cloud/Software
GST invoice for Porter intra-city logistics and tempo hire,Logistics
payment towards paper shredder for document disposal,Office Supplies
oyo hotel accommodation for conference in bangalore,Travel
Invoice for Ola cab ride from office to airport,Travel
Invoice for Shadowfax hyperlocal delivery charges,Logistics
rental car with driver for week-long project site — reimbursement claim,Travel
Razorpay payment gateway integration charges — reimbursement claim,Cloud/Software
Expense: AWS monthly cloud hosting and EC2 instance bill,Cloud/Software
BSNL broadband internet connection charges — reimbursement claim,Utilities
Expense: Slack Business Plus annual team subscription,Cloud/Software
GST invoice for FedEx international freight forwarding charges,Logistics
Bill: Cloudflare domain and CDN service subscription,Cloud/Software
Payment towards India Post speed post and registered parcel charges,Logistics
Vistara business class ticket for CEO travel — reimbursement claim,Travel
Recurring charge: Per diem meal allowance during Hyderabad trip,Travel
Invoice for XpressBees logistics pickup and delivery,Logistics
Vendor invoice — New Relic application monitoring subscription,Cloud/Software
cctv surveillance system monitoring charges — reimbursement claim,Utilities
Payment towards Paint and chemical solvents for production,Inventory
GST invoice for Diesel generator fuel for power backup,Utilities
purchase of raw cotton bales from supplier,Inventory
Porter intra-city logistics and tempo hire,Logistics
gst invoice for irctc train ticket for team offsite jaipur,Travel
Invoice for Razorpay payment gateway integration charges,Cloud/Software
desk lamp led study light for workstation,Office Supplies
Expense: Multi-plug extension board and cable organizer,Office Supplies
Vendor invoice — Rental car with driver for week-long project site,Travel
Vendor invoice — AWS monthly cloud hosting and EC2 instance bill,Cloud/Software
Invoice for Rental car with driver for week-long project site,Travel
MTNL telephone and landline rental charges — reimbursement claim,Utilities
Invoice for Rain water harvesting system maintenance,Utilities
GST invoice for Loading and unloading charges at distribution centre,Logistics
ecom express last-mile delivery fee,Logistics
Waste disposal and garbage collection charges — reimbursement claim,Utilities
rajdhani express train fare for business travel,Travel
Vendor invoice — Sewage treatment plant operating expenses,Utilities
GST invoice for Wall clock and notice board for reception,Office Supplies
Payment towards Freshdesk customer support software license,Cloud/Software
GST invoice for Airtel business Wi-Fi connection bill,Utilities
electronic components ics and pcbs for assembly — reimbursement claim,Inventory
Slack Business Plus annual team subscription,Cloud/Software
Freshdesk customer support software license — reimbursement claim,Cloud/Software
Bill: DHL express shipping for export consignment,Logistics
Invoice for Parking charges at client premises and airport,Travel
Expense: Salesforce CRM monthly enterprise license,Cloud/Software
Bill: Municipal property tax and civic charges,Utilities
Recurring charge: Visiting cards and letterhead printing,Office Supplies
recurring charge: multi-plug extension board and cable organizer,Office Supplies
Bill: Notion team workspace annual subscription,Cloud/Software
Jira Software Cloud project management license,Cloud/Software
finished goods stock replenishment from vendor — reimbursement claim,Inventory
payment towards office pantry supplies tea coffee sugar and cups,Office Supplies
vendor invoice — computer hardware components for assembly,Inventory
Payment towards Battery cells and charger units procurement,Inventory
GitHub Team plan for private repositories,Cloud/Software
Payment towards Safety equipment helmets gloves for warehouse,Inventory
GST invoice for Courier charges for sending documents to client,Logistics
GST invoice for Rajdhani Express train fare for business travel,Travel
